,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
95,asau,0,RO,1603497372,100,46.43,26.4,54.0,2.24
96,mar del plata,8,ES,1603497372,82,43.4,-4.01,57.0,7.18
97,lebu,100,CL,1603497372,89,-37.62,-73.65,51.13,1.36
98,hanumangarh,0,IN,1603497373,25,29.58,74.32,67.12,3.49
99,olafsvik,87,IS,1603497373,77,64.89,-23.71,43.59,17.16
100,north platte,10,FR,1603497268,87,50.33,3.67,55.4,10.29
101,kapaa,90,US,1603497323,88,22.08,-159.32,81.0,10.29
102,grand river south east,1,US,1603497373,13,38.88,-109.5,62.6,5.37
103,pirovskoye,0,RU,1603497373,96,57.63,92.27,29.05,7.09
104,hithadhoo,53,MV,1603497374,79,-0.6,73.08,82.11,11.81
105,provideniya,99,RU,1603497374,87,64.38,-173.3,34.47,11.03
106,jamestown,1,US,1603497184,56,42.1,-79.24,69.8,10.29
107,hambantota,0,LK,1603497374,94,6.12,81.12,77.0,4.7
108,yulara,0,AU,1603497374,55,-25.24,130.99,64.4,14.99
109,new norfolk,100,LR,1603497374,97,6.65,-10.59,74.25,1.92
110,ahipara,44,NZ,1603497374,66,-35.17,173.17,69.26,7.18
111,souillac,20,MU,1603497374,69,-20.52,57.52,73.4,8.05
112,rawson,91,AR,1603497375,42,-43.3,-65.1,72.1,28.39
113,san andres,15,ML,1603497375,24,13.3,-4.9,83.07,6.76
114,sibolga,100,ID,1603497375,80,1.74,98.78,77.92,3.94
115,kahului,40,US,1603497339,49,20.89,-156.47,89.6,10.29
116,catuday,100,PH,1603497375,81,16.29,119.81,79.45,4.61
117,broome,1,US,1603497375,72,42.25,-75.83,66.99,12.75
118,high rock,91,US,1603497375,79,33.61,-95.75,52.0,15.57
119,parrita,75,CR,1603497375,94,9.52,-84.32,71.6,4.7
120,geraldton,0,AU,1603497376,40,-28.77,114.6,68.0,11.41
121,upernavik,98,GL,1603497376,91,72.79,-56.15,22.39,7.54
122,khani,0,GE,1603497219,71,41.96,42.96,51.8,2.24
123,ouallam,0,NE,1603497376,13,14.32,2.09,86.0,11.01
124,umtata,100,ZA,1603497376,36,-31.59,28.78,77.0,2.24
125,hamilton,40,US,1603497195,77,39.18,-84.53,71.01,6.93
126,esmeraldas,75,BR,1603497194,77,-19.76,-44.31,66.2,9.17
127,qasigiannguit,77,GL,1603497273,62,68.82,-51.19,21.2,4.7
128,lata,15,PT,1603497377,87,40.16,-8.33,55.99,1.88
129,khatanga,100,RU,1603497377,97,71.97,102.5,13.82,10.38
130,kruisfontein,43,ZA,1603497377,87,-34.0,24.73,66.0,1.01
131,makakilo city,40,US,1603497377,83,21.35,-158.09,82.0,13.87
132,ancud,90,CL,1603497377,93,-41.87,-73.82,51.01,12.75
133,airai,22,TL,1603497377,77,-8.93,125.41,72.36,1.7
134,longyearbyen,75,SJ,1603497293,79,78.22,15.64,19.4,4.7
135,barabai,91,ID,1603497378,71,-2.58,115.38,81.52,1.86
136,paraiso,75,CR,1603497378,94,9.84,-83.87,69.8,4.7
137,daru,51,PG,1603497378,73,-9.08,143.21,83.35,8.23
138,taraz,58,KZ,1603497378,74,42.9,71.37,28.4,2.24
139,klaksvik,3,FO,1603497378,93,62.23,-6.59,44.6,10.29
140,atambua,8,ID,1603497378,62,-9.11,124.89,84.6,1.28
141,tura,100,IN,1603497379,99,25.52,90.22,70.03,4.65
142,caravelas,97,BR,1603497333,90,-17.71,-39.25,72.82,6.93
143,bengkulu,100,ID,1603497379,87,-3.8,102.27,76.53,4.59
144,buala,44,SB,1603497379,63,-8.14,159.59,86.72,5.84
145,santa lucia,100,PH,1603497379,80,17.49,120.43,80.73,4.5
146,krasnovishersk,100,RU,1603497380,89,60.41,57.08,23.76,9.37
147,isiro,100,CD,1603497380,99,2.77,27.62,68.29,1.19
148,norman wells,40,US,1603497329,65,35.22,-97.44,46.0,17.22
149,jaicos,50,BR,1603497380,32,-7.36,-41.14,85.6,3.29
150,pimentel,94,PE,1603497380,86,-6.84,-79.93,62.49,10.67
151,poum,0,NC,1603497380,75,-20.23,164.02,78.46,17.78
152,kavaratti,96,IN,1603497350,77,10.57,72.64,80.17,12.82
153,findochty,0,GB,1603497380,86,57.7,-2.9,44.6,6.93
154,djibo,0,BF,1603497381,14,14.1,-1.63,85.39,6.98
155,eureka,0,US,1603497381,58,40.8,-124.16,66.0,5.01
156,krosno,100,PL,1603497381,91,49.69,21.77,51.01,5.01
157,suffolk,90,US,1603497381,87,40.87,-72.8,61.0,7.14
158,rey bouba,0,IR,1603497381,41,35.59,51.45,59.0,4.7
159,coos bay,90,US,1603497381,50,43.17,-124.0,63.0,4.7
160,havelock,90,US,1603497382,73,34.88,-76.9,72.0,3.36
161,dingzhou,0,CN,1603497382,74,38.51,115.0,35.6,2.24
162,trairi,0,BR,1603497382,81,-3.28,-39.27,79.41,10.89
163,gawler,46,AU,1603497382,65,-34.6,138.73,60.01,11.01
164,mayo,1,US,1603497382,88,38.89,-76.51,68.0,6.93
165,harper,100,LR,1603497382,89,4.38,-7.72,77.16,6.4
166,morros,91,BR,1603497382,75,-9.45,-46.3,76.39,7.56
167,saint-leu,75,RE,1603497344,68,-21.15,55.28,71.6,5.82
168,coahuayana,40,MX,1603497383,78,18.73,-103.68,82.4,11.41
169,trat,100,TH,1603497383,83,12.5,102.5,71.37,6.46
170,vardo,75,NO,1603497383,100,70.37,31.11,33.8,11.41
171,gat,0,IL,1603497383,83,31.61,34.76,69.8,4.7
172,constitucion,0,CL,1603497384,80,-35.33,-72.42,51.01,11.07
173,buin,0,CL,1603497384,52,-33.73,-70.75,69.01,16.11
174,turukhansk,96,RU,1603497384,95,65.82,87.98,8.46,9.66
175,puerto ayacucho,20,ES,1603497358,93,36.59,-6.23,59.0,3.36
176,isangel,33,VU,1603497384,68,-19.55,169.27,80.87,11.1
177,langxiang,18,CN,1603497384,85,46.95,128.88,28.89,8.61
178,namatanai,7,PG,1603497384,59,-3.67,152.43,86.18,1.1
179,lafiagi,99,NG,1603497385,66,8.87,5.42,76.8,3.2
180,touros,40,BR,1603497385,94,-5.2,-35.46,77.0,5.82
181,yellowknife,20,CA,1603497382,58,62.46,-114.35,26.6,6.93
182,tacuarembo,100,UY,1603497116,91,-31.73,-55.98,70.81,5.66
183,bonthe,100,SL,1603497385,86,7.53,-12.51,78.82,3.29
184,lagoa,39,PT,1603497385,81,39.05,-27.98,66.74,24.56
185,severnyy-kospashskiy,93,RU,1603497385,79,59.09,57.8,17.01,9.82
186,gazli,70,UZ,1603497386,56,40.13,63.45,44.58,8.21
187,krasnoselkup,87,RU,1603497386,97,65.7,82.47,13.98,9.1
188,savinka,100,RU,1603497386,78,50.08,47.1,56.44,15.99
189,axim,44,GH,1603497386,89,4.87,-2.24,77.23,4.99
190,pevek,83,RU,1603497386,93,69.7,170.31,27.0,9.84
191,ishigaki,75,JP,1603497386,73,24.34,124.16,73.4,17.22
192,ojinaga,1,MX,1603497386,23,29.57,-104.42,82.4,20.8
193,rudnogorsk,90,RU,1603497387,99,57.26,103.75,28.29,1.43
194,kudahuvadhoo,1,MV,1603497387,79,2.67,72.89,82.09,11.92
195,bilibino,44,RU,1603497387,89,68.05,166.44,18.77,0.65
196,bethel,98,US,1603497387,97,41.37,-73.41,61.0,3.96
197,ngunguru,8,NZ,1603497387,77,-35.62,174.5,65.1,10.27
198,abha,0,SA,1603497387,26,18.22,42.51,59.0,8.88
199,husavik,90,IS,1603497383,75,66.04,-17.34,42.8,4.7
200,sioux lookout,75,US,1603497388,74,42.73,-96.23,32.0,5.82
201,maputo,75,MZ,1603497388,83,-25.97,32.59,72.0,3.36
202,yabelo,91,ET,1603497388,93,4.88,38.08,60.44,7.47
203,xingcheng,0,CN,1603497388,47,40.62,120.72,47.98,3.15
204,yarmouth,75,US,1603497388,87,41.71,-70.23,59.0,3.36
205,mbuji-mayi,83,CD,1603497389,93,-6.15,23.6,69.48,1.66
206,cherskiy,29,RU,1603497389,95,68.75,161.3,18.5,3.58
207,port hawkesbury,62,CD,1603497364,61,-7.03,29.76,76.98,4.29
208,benghazi,10,LY,1603497389,70,32.12,20.07,71.87,12.91
209,tuatapere,99,NZ,1603497389,51,-46.13,167.68,71.01,15.01
210,rajnagar,0,IN,1603497389,41,24.88,79.92,70.32,2.84
211,vostok,100,RU,1603497389,99,46.49,135.88,25.63,12.59
212,vila velha,49,PT,1603497390,90,42.03,-8.16,51.01,4.0
213,hirara,75,JP,1603497390,68,24.8,125.28,73.4,13.87
214,harnosand,0,SE,1603497390,92,62.63,17.94,32.0,2.24
215,kodiak,90,US,1603497390,93,57.79,-152.41,46.4,18.34
216,birao,99,CF,1603497390,72,10.28,22.79,76.21,2.89
217,zhuhai,20,CN,1603497390,53,22.28,113.57,73.4,18.34
218,hasaki,75,JP,1603497390,82,35.73,140.83,61.0,4.7
219,toccoa,1,US,1603497295,83,34.58,-83.33,69.8,1.41
220,tiksi,95,RU,1603497391,95,71.69,128.87,22.75,15.32
221,talnakh,40,RU,1603497391,76,69.49,88.4,-4.0,6.71
222,champerico,90,GT,1603497391,88,14.3,-91.92,80.6,6.93
223,sidareja,80,ID,1603497391,84,-7.48,108.79,79.12,1.32
224,udachnyy,40,RU,1603497391,72,66.42,112.4,14.0,13.42
225,amboasary,40,MG,1603497392,88,-25.03,46.38,73.4,18.34
226,shush,0,IR,1603497392,40,32.19,48.24,65.21,2.59
227,naze,75,JP,1603497392,56,28.37,129.48,71.6,8.05
228,ryotsu,75,JP,1603497392,71,38.08,138.43,55.4,9.17
229,kutum,43,SD,1603497392,21,14.2,24.67,72.19,10.51
230,magadan,100,RU,1603497392,81,59.57,150.8,38.57,9.98
231,roebourne,0,AU,1603497392,44,-20.78,117.13,75.92,9.6
232,tiffin,49,US,1603497158,94,41.11,-83.18,64.0,11.34
233,marzuq,1,YE,1603497393,27,14.4,46.47,62.46,3.94
234,emerald,40,AU,1603497393,88,-23.53,148.17,69.8,10.29
235,rundu,34,NA,1603497393,24,-17.93,19.77,73.08,8.37
236,mogzon,1,RU,1603497393,94,51.74,111.96,28.04,0.94
237,moron,62,AR,1603497237,90,-34.65,-58.62,69.01,1.01
238,acapulco,75,MX,1603497393,74,16.86,-99.89,86.0,9.17
239,alofi,75,NU,1603497394,74,-19.06,-169.92,80.6,18.34
240,decatur,90,US,1603497036,87,39.84,-88.95,45.0,17.22
241,cockburn town,90,AU,1603497394,93,-32.08,141.0,53.6,26.4
242,bandiagara,2,ML,1603497394,14,14.35,-3.61,83.84,6.08
243,gamboula,100,CF,1603497394,98,4.12,15.14,68.83,2.51
244,basco,100,PH,1603497218,88,20.45,121.97,77.13,36.15
245,melo,100,UY,1603497394,95,-32.37,-54.18,67.1,4.52
246,cayenne,0,GF,1603497365,94,4.93,-52.33,78.8,9.71
247,pringsewu,100,ID,1603497395,84,-5.36,104.97,77.16,2.57
248,pauini,77,BR,1603497395,85,-7.71,-66.98,77.45,3.06
249,bhikangaon,0,IN,1603497395,58,21.87,75.95,72.46,1.57
250,high prairie,91,US,1603497395,79,33.61,-95.75,52.0,15.57
251,north bend,27,FR,1603497328,87,50.33,3.67,55.4,10.29
252,baykit,100,RU,1603497395,96,61.67,96.37,28.17,0.96
253,nouadhibou,54,MR,1603497396,64,20.93,-17.03,75.2,14.99
254,codrington,67,AU,1603497396,71,-38.27,141.97,53.71,19.84
255,harlingen,40,US,1603497396,70,26.19,-97.7,86.0,12.75
256,albox,1,ES,1603497365,70,37.39,-2.15,57.0,5.01
257,iqaluit,40,CA,1603497396,74,63.75,-68.51,28.4,4.7
258,alton,90,US,1603497282,93,38.89,-90.18,45.0,14.99
259,mana,85,GF,1603497397,82,5.66,-53.78,81.14,10.6
260,waipawa,0,NZ,1603497397,72,-41.41,175.52,64.99,20.8
261,tatarani,14,RO,1603497397,67,45.0,25.27,60.01,3.18
262,san carlos de bariloche,15,ML,1603497375,24,13.3,-4.9,83.07,6.76
263,havre-saint-pierre,90,CA,1603497397,74,50.23,-63.6,35.6,5.82
264,kaitangata,45,NZ,1603497397,42,-46.28,169.85,67.57,4.59
265,chegdomyn,100,RU,1603497398,86,51.12,133.02,32.2,12.03
266,yaan,100,NG,1603497398,94,7.38,8.57,73.9,4.94
267,sinnamary,81,GF,1603497398,82,5.38,-52.95,80.67,9.31
268,craig,1,US,1603497223,29,40.52,-107.55,39.2,4.7
269,zelenogorskiy,40,RU,1603497398,86,55.03,87.0,28.4,8.95
270,haines junction,1,US,1603497398,37,59.23,-135.44,35.6,10.29
271,hervey bay,90,US,1603497398,63,33.5,-93.78,66.99,13.87
272,ponta do sol,29,PT,1603497399,88,38.73,-28.27,62.98,23.15
273,zyryanka,1,RU,1603497399,94,65.75,150.85,21.4,5.59
274,waitati,50,NZ,1603497399,43,-45.75,170.57,67.77,8.95
275,nelson bay,1,NZ,1603497399,44,-41.28,173.28,73.99,5.01
276,otanche,95,CO,1603497399,92,5.66,-74.18,69.98,0.69
277,kenai,90,US,1603497399,55,60.55,-151.26,41.0,13.87
278,ribeira grande,75,ES,1603497400,87,42.75,-8.44,60.01,12.75
279,korla,29,CN,1603497293,94,41.76,86.15,44.01,5.01
280,san buenaventura,15,ML,1603497362,24,13.3,-4.9,83.07,6.76
281,talaja,0,IN,1603497400,48,21.35,72.05,78.94,2.24
282,lavrentiya,100,RU,1603497400,84,65.58,-171.0,34.97,1.28
283,atbasar,0,KZ,1603497400,87,51.8,68.33,22.84,6.93
284,hofn,100,IS,1603497400,88,64.25,-15.21,43.25,8.32
285,sembe,100,CG,1603497401,95,1.65,14.58,70.5,2.35
286,necochea,20,AR,1603497232,87,-38.55,-58.74,55.99,1.99
287,chesma,67,RU,1603497401,97,53.81,60.65,27.39,12.8
288,rupnagar,0,IN,1603497401,38,30.97,76.53,62.13,2.77
289,saint-philippe,75,RE,1603497401,68,-21.36,55.77,71.6,5.82
290,vicksburg,1,US,1603497402,88,32.35,-90.88,80.6,2.37
291,evensk,45,RU,1603497402,90,61.95,159.23,33.06,4.23
292,kaeo,63,NZ,1603497402,66,-35.1,173.78,68.38,6.93
293,kandrian,99,PG,1603497402,62,-6.22,149.55,87.64,3.78
294,kimbe,74,PG,1603497402,58,-5.55,150.14,87.93,3.18
295,marienburg,95,PL,1603497402,100,54.04,19.03,53.01,3.02
296,okhotsk,100,RU,1603497402,94,59.38,143.3,39.52,12.62
297,rapu-rapu,100,PH,1603497403,81,13.19,124.13,81.68,10.71
298,fort saint john,56,NL,1603497403,93,52.65,6.39,55.0,7.0
299,jalu,10,LY,1603497403,77,29.03,21.55,65.12,13.44
300,pontianak,100,ID,1603497239,89,-0.03,109.33,77.9,2.95
301,tilhar,0,IN,1603497403,32,27.98,79.73,68.07,4.27
302,kajaani,90,FI,1603497403,86,64.23,27.73,33.8,8.05
303,mys shmidta,100,RU,1603497404,98,62.06,48.62,30.38,9.31
304,holme,100,DK,1603497404,93,56.11,10.17,53.6,8.05
305,amahai,57,ID,1603497404,79,-3.33,128.92,82.83,4.54
306,cap malheureux,90,FR,1603497404,93,49.27,-1.21,55.4,10.29
307,jertih,20,MY,1603497404,94,5.73,102.49,75.2,3.36
308,francistown,0,BW,1603497404,44,-21.17,27.51,71.47,5.64
309,antalaha,7,MG,1603497404,84,-14.9,50.28,69.66,6.49
310,saint-joseph,75,RE,1603497405,68,-21.37,55.62,69.8,5.82
311,kilindoni,100,TZ,1603497405,80,-7.91,39.67,79.2,9.15
312,maun,37,BW,1603497109,29,-19.98,23.42,73.02,6.64
313,nalut,0,LY,1603497405,24,30.33,10.85,70.05,11.97
314,sechura,78,PE,1603497405,73,-5.56,-80.82,65.73,14.38
315,monte alegre,0,FR,1603497405,87,42.47,9.39,68.0,3.36
316,lompoc,90,US,1603497405,68,34.64,-120.46,66.2,12.75
317,nuevo san juan parangaricutiro,1,US,1603497406,53,33.8,-117.15,75.0,6.93
318,pangnirtung,100,CA,1603497406,95,66.15,-65.71,26.64,2.86
319,port lincoln,62,CD,1603497406,61,-7.03,29.76,76.98,4.29
320,dryden,90,CA,1603497406,79,49.78,-92.75,28.4,3.36
321,monrovia,80,LR,1603497259,86,6.3,-10.8,78.71,6.67
322,quelimane,0,MZ,1603497406,94,-17.88,36.89,69.8,2.24
323,zimapan,7,MX,1603497407,53,20.75,-99.35,65.21,5.66
324,lorengau,29,PG,1603497407,61,-2.02,147.27,85.66,5.73
325,nanortalik,98,GL,1603497407,87,60.14,-45.24,34.32,2.91
326,bondo,100,CD,1603497407,98,3.81,23.69,70.12,1.16
327,guiratinga,100,BR,1603497407,85,-16.35,-53.76,72.82,10.94
328,barra do garcas,60,BR,1603497211,50,-11.09,-43.14,81.88,5.21
329,ballina,75,AU,1603497407,88,-28.87,153.57,73.4,9.17
330,alugan,86,PH,1603497407,82,12.22,125.48,80.71,5.37
331,gondanglegi,24,ID,1603497408,74,-7.75,112.01,80.56,9.35
332,bitburg,90,DE,1603497408,100,49.97,6.53,53.6,6.93
333,port-gentil,99,GA,1603497235,87,-0.72,8.78,78.4,12.28
334,asheville,79,US,1603497164,80,35.6,-82.55,64.99,1.01
335,mildura,90,AU,1603497408,87,-34.2,142.15,55.4,16.11
336,northam,77,GB,1603497324,86,51.03,-4.22,50.0,10.0
337,pisco,0,PE,1603497408,77,-13.7,-76.22,64.4,19.46
338,mackay,75,AU,1603497408,74,-21.15,149.2,80.6,9.17
339,cidreira,100,BR,1603497409,93,-30.18,-50.21,67.77,14.25
340,kavieng,43,PG,1603497409,61,-2.57,150.8,85.12,3.53
341,san rafael,15,ML,1603497384,24,13.3,-4.9,83.07,6.76
342,escarcega,89,MX,1603497409,88,18.61,-90.75,77.59,3.31
343,longkou,0,CN,1603497409,52,37.65,120.33,54.72,11.12
344,alice springs,1,US,1603497409,43,27.75,-98.07,91.4,6.93
345,murray bridge,1,US,1603497409,42,40.67,-111.89,50.0,1.07
346,port elizabeth,62,CD,1603497364,61,-7.03,29.76,76.98,4.29
347,tygda,0,RU,1603497410,92,53.12,126.33,24.82,7.92
348,saldanha,1,ZA,1603497410,87,-33.01,17.94,59.0,3.36
349,fallon,20,US,1603497410,19,39.47,-118.78,57.2,3.36
350,fortuna,1,US,1603497410,50,40.6,-124.16,62.01,14.99
351,tripoli,0,LY,1603497410,45,32.88,13.19,73.13,10.98
352,zlobin,75,HR,1603497411,82,45.29,14.65,63.0,5.82
353,ipixuna,40,BR,1603497411,88,-1.76,-48.8,78.8,3.36
354,severo-kurilsk,100,RU,1603497411,84,50.68,156.12,43.5,32.99
355,antofagasta,90,CL,1603497363,82,-23.65,-70.4,59.0,14.99
356,wanaka,36,NZ,1603497314,52,-44.7,169.15,63.05,10.29
357,fairbanks,1,US,1603497411,92,64.84,-147.72,27.0,3.65
358,coquimbo,75,CL,1603497411,82,-29.95,-71.34,55.4,5.82
359,fayaoue,9,NC,1603497412,78,-20.65,166.53,77.25,12.62
360,omsukchan,12,RU,1603497318,92,62.53,155.8,30.51,3.47
361,hay river,86,GB,1603497412,85,52.07,-3.13,46.99,1.01
362,apatou,89,GF,1603497412,86,5.16,-54.35,76.96,2.8
363,itarema,17,BR,1603497412,79,-2.92,-39.92,79.65,15.93
364,mattru,89,SL,1603497412,95,7.62,-11.83,74.43,1.25
365,kununurra,50,AU,1603497412,66,-15.77,128.73,87.8,8.05
366,raudeberg,100,NO,1603497413,76,61.99,5.14,44.01,15.93
367,hami,0,CN,1603497413,47,42.8,93.45,45.36,6.38
368,sri aman,0,MA,1603497413,87,30.04,-8.8,60.8,2.33
369,lewistown,1,US,1603497413,77,40.6,-77.57,68.0,5.01
370,muros,87,ES,1603497413,83,42.78,-9.06,60.01,17.0
371,pemangkat,95,ID,1603497413,82,1.17,108.97,79.23,5.7
372,burns lake,1,US,1603497414,15,43.59,-119.05,57.2,8.05
373,svetlyy,90,RU,1603497414,93,54.67,20.13,50.0,4.47
374,luderitz,0,NA,1603497414,82,-26.65,15.16,58.5,8.7
375,penzance,99,GB,1603497415,81,50.12,-5.54,53.6,23.04
376,vikhorevka,75,RU,1603497415,93,56.12,101.16,35.6,2.24
377,tarauaca,65,BR,1603497415,76,-8.16,-70.77,77.68,5.14
378,kamyshevatskaya,54,RU,1603497415,90,46.41,37.96,61.45,15.46
379,salalah,0,OM,1603497413,37,17.02,54.09,71.6,4.7
380,lensk,94,RU,1603497415,96,60.73,114.93,27.75,3.53
381,rio gallegos,0,GR,1603497415,87,38.3,21.78,53.6,2.82
382,batticaloa,57,LK,1603497416,77,7.71,81.69,76.55,6.33
383,zelenoborsk,0,RU,1603497416,95,61.47,64.03,21.04,4.21
384,aragarcas,100,BR,1603497416,86,-15.9,-52.25,74.91,7.65
385,phan thiet,20,TH,1603497416,100,19.55,99.74,63.0,1.48
386,nizwa,0,OM,1603497416,25,22.93,57.53,65.95,5.82
387,batagay-alyta,75,RU,1603497416,90,67.8,130.41,11.39,3.06
